name,num_classes,classes_used,ratio,learning_rate,mean_0,variance_0,mean_10,variance_10,mean_20,variance_20,mean_30,variance_30,mean_40,variance_40,mean_50,variance_50
focal_loss,2,"(0, 1)","(10, 1)",1e-05,0.5483786499999999,0.0094237419281024,0.7956428999999999,0.0003096080200399,0.8117367499999999,0.0002398205835625,0.8244135499999998,9.920184297249984e-05,0.8326899000000001,6.450737399000032e-05,0.8331953000000001,7.524090446000033e-05
focal_loss,2,"(0, 1)","(10, 1)",1e-06,0.53490505,0.0086060348989724,0.6813913,0.00083694262621,0.7108797,0.0004066332196099,0.72731575,0.0002481399386125,0.7394749500000001,0.0001263883428225,0.7480514999999999,0.0001457304336999
focal_loss,2,"(0, 1)","(10, 1)",5e-07,0.5275359,0.00833120921169,0.6264034,0.00274098100279,0.6526783999999999,0.0016779170977399,0.6751086000000001,0.0008956507644399,0.69283645,0.0005709718469724,0.7063913,0.0004206549301599
focal_loss,2,"(0, 1)","(10, 1)",1e-07,0.5117162999999999,0.0057660317906599,0.62955295,0.0009048020982724,0.6339805000000001,0.0012337505378,0.6421888499999999,0.0011890849922025,0.6497906,0.0011679928253399,0.65705705,0.0011193619512724
focal_loss,2,"(0, 1)","(10, 1)",1e-08,0.5146188,0.00386855436301,0.6063476999999999,0.0050527223878599,0.61804735,0.0049170242265025,0.6210666,0.0049122810708399,0.62150725,0.0051611753545625,0.62215125,0.0053682374757125
focal_loss,2,"(0, 1)","(100, 1)",1e-05,0.5483786499999999,0.0094237419281024,0.6851426999999999,0.00185746226556,0.6991117,0.00133629471731,0.710292,0.0016270927266999,0.7232221,0.00111502717179,0.73007225,0.0007601632407624
focal_loss,2,"(0, 1)","(100, 1)",1e-06,0.53490505,0.0086060348989724,0.6651067000000002,0.0012444966412599,0.6702116499999999,0.0011199449968524,0.6748683500000001,0.0010476495223025,0.6786416,0.00099239091629,0.68175195,0.0009213475358224
focal_loss,2,"(0, 1)","(100, 1)",5e-07,0.5275359,0.00833120921169,0.6237133,0.00234763383116,0.6260581000000001,0.0023767473274899,0.6290313000000001,0.0023097034552599,0.6315426000000001,0.00233807651814,0.6340380499999999,0.0023421228267725
focal_loss,2,"(0, 1)","(100, 1)",1e-07,0.5117162999999999,0.0057660317906599,0.64086385,0.0014351121801025,0.6468856500000001,0.0012705986083525,0.6498212499999999,0.0010155176666625,0.65186195,0.0009415750562725,0.6548945500000001,0.0007307090726725
focal_loss,2,"(0, 1)","(100, 1)",1e-08,0.5146188,0.00386855436301,0.60722185,0.0050314942714525,0.6194938499999999,0.0047263291056025,0.6246813,0.00455667180771,0.6270838,0.0043834939905099,0.6288210500000001,0.0042186110699724
smote,2,"(0, 1)","(100, 1)",1e-05,0.5483786499999999,0.0094237419281024,0.6985829,0.0046987410700899,0.7382645,0.0007652708995,0.72189485,0.0014083251020024,0.7096970499999999,0.0059589113235724,0.66628905,0.0076781284213725
smote,2,"(0, 1)","(100, 1)",1e-06,0.53490505,0.0086060348989724,0.68011825,0.0006116394991125,0.6912856500000001,0.0007508750739024,0.7035745999999999,0.00019431909429,0.70255065,0.0001424042657025,0.69753315,0.0004661270028024
smote,2,"(0, 1)","(100, 1)",5e-07,0.5275359,0.00833120921169,0.6807700999999999,0.0002493113207899,0.6863965000000001,0.000302884733,0.6917196000000001,0.0002234005133899,0.6930670500000001,0.0004058218642725,0.68971695,0.0002249423509224
smote,2,"(0, 1)","(100, 1)",1e-07,0.5117162999999999,0.0057660317906599,0.6290637499999999,0.0006646185291124,0.65839585,0.0003437330744525,0.6711587500000001,0.0002015692088124,0.6816313500000001,0.0001438951850024,0.6847013999999999,0.0001458344007899
smote,2,"(0, 1)","(100, 1)",1e-08,0.5146188,0.00386855436301,0.52771075,0.0098168348488625,0.5387892000000001,0.00893262901426,0.5497465500000001,0.0080485797455224,0.55970215,0.0072329060632525,0.5684501,0.0065223611413899
smote,2,"(0, 1)","(10, 1)",1e-05,0.5551178,0.00886383605266,0.7646261999999999,0.004744123540059996,0.7478220500000001,0.0070056453171225,0.7672135,0.008964957383300005,0.73037375,0.010189110530412503,0.7982566499999999,0.0035027031729025033
smote,2,"(0, 1)","(10, 1)",1e-06,0.5131051,0.00734964691729,0.730666,0.0001743369585500004,0.7440173499999998,0.0013806035427024997,0.77297915,0.0010116243972525005,0.7623145499999999,0.0007897417269225016,0.7833695500000001,0.0003910599048724993
smote,2,"(0, 1)","(10, 1)",5e-07,0.5213126000000001,0.009090402066590007,0.7119689000000001,0.0001649051598900001,0.7356738,0.00021090974495999973,0.74856985,0.0005157528637025003,0.7452941000000001,0.0003116728556399988,0.75381235,8.669775060250002e-05
smote,2,"(0, 1)","(10, 1)",1e-07,0.51752125,0.0079514753468125,0.6359575000000001,0.0006172923328500006,0.6708621,0.00021883519928999904,0.68986675,0.00014239444366249984,0.7039484499999998,0.00012115968237250014,0.7131771500000001,0.00014522645640249933
smote,2,"(0, 1)","(10, 1)",1e-08,0.5317035999999999,0.0028759336664399985,0.5231427,0.005236577075510002,0.5360057,0.004870936890309999,0.5479829500000001,0.004379051781972497,0.5603175,0.003976298196849997,0.5721410499999999,0.0035745910304724993
